Frame Number,Timecode,content_val,delta_hue,delta_lum,delta_sat
1,00:00:00.042,0.0,0.0,0.0,0.0
2,00:00:00.083,0.0,0.0,0.0,0.0
3,00:00:00.125,0.0,0.0,0.0,0.0
4,00:00:00.167,0.0,0.0,0.0,0.0
5,00:00:00.209,0.0,0.0,0.0,0.0
6,00:00:00.250,0.0,0.0,0.0,0.0
7,00:00:00.292,0.0,0.0,0.0,0.0
8,00:00:00.334,0.0,0.0,0.0,0.0
9,00:00:00.375,0.0,0.0,0.0,0.0
10,00:00:00.417,0.0,0.0,0.0,0.0
11,00:00:00.459,0.0,0.0,0.0,0.0
12,00:00:00.500,0.0,0.0,0.0,0.0
13,00:00:00.542,0.0,0.0,0.0,0.0
14,00:00:00.584,0.0,0.0,0.0,0.0
15,00:00:00.626,0.0,0.0,0.0,0.0
16,00:00:00.667,0.0,0.0,0.0,0.0
17,00:00:00.709,0.0,0.0,0.0,0.0
18,00:00:00.751,0.0,0.0,0.0,0.0
19,00:00:00.792,0.0,0.0,0.0,0.0
20,00:00:00.834,0.0,0.0,0.0,0.0
21,00:00:00.876,0.0,0.0,0.0,0.0
22,00:00:00.918,0.0,0.0,0.0,0.0
23,00:00:00.959,0.0,0.0,0.0,0.0
24,00:00:01.001,0.0,0.0,0.0,0.0
25,00:00:01.043,0.0,0.0,0.0,0.0
26,00:00:01.084,0.0,0.0,0.0,0.0
27,00:00:01.126,0.0,0.0,0.0,0.0
28,00:00:01.168,0.0,0.0,0.0,0.0
29,00:00:01.210,0.0,0.0,0.0,0.0
30,00:00:01.251,0.0,0.0,0.0,0.0
31,00:00:01.293,0.0,0.0,0.0,0.0
32,00:00:01.335,0.0,0.0,0.0,0.0
33,00:00:01.376,0.0,0.0,0.0,0.0
34,00:00:01.418,0.0,0.0,0.0,0.0
35,00:00:01.460,0.0,0.0,0.0,0.0
36,00:00:01.501,0.0,0.0,0.0,0.0
37,00:00:01.543,0.0,0.0,0.0,0.0
38,00:00:01.585,0.0,0.0,0.0,0.0
39,00:00:01.627,0.0,0.0,0.0,0.0
40,00:00:01.668,0.0,0.0,0.0,0.0
41,00:00:01.710,0.0,0.0,0.0,0.0
42,00:00:01.752,0.0,0.0,0.0,0.0
43,00:00:01.793,0.0,0.0,0.0,0.0
44,00:00:01.835,0.0,0.0,0.0,0.0
45,00:00:01.877,0.0,0.0,0.0,0.0
46,00:00:01.919,0.0,0.0,0.0,0.0
47,00:00:01.960,0.0,0.0,0.0,0.0
48,00:00:02.002,0.0,0.0,0.0,0.0
49,00:00:02.044,0.0,0.0,0.0,0.0
50,00:00:02.085,0.0,0.0,0.0,0.0
51,00:00:02.127,0.0,0.0,0.0,0.0
52,00:00:02.169,0.0,0.0,0.0,0.0
53,00:00:02.211,0.0,0.0,0.0,0.0
54,00:00:02.252,0.0,0.0,0.0,0.0
55,00:00:02.294,0.0,0.0,0.0,0.0
56,00:00:02.336,0.0,0.0,0.0,0.0
57,00:00:02.377,0.0,0.0,0.0,0.0
58,00:00:02.419,0.0,0.0,0.0,0.0
59,00:00:02.461,0.0,0.0,0.0,0.0
60,00:00:02.502,0.0,0.0,0.0,0.0
61,00:00:02.544,0.0,0.0,0.0,0.0
62,00:00:02.586,0.0,0.0,0.0,0.0
63,00:00:02.628,0.0,0.0,0.0,0.0
64,00:00:02.669,0.0,0.0,0.0,0.0
65,00:00:02.711,0.0,0.0,0.0,0.0
66,00:00:02.753,0.0,0.0,0.0,0.0
67,00:00:02.794,0.0,0.0,0.0,0.0
68,00:00:02.836,0.0,0.0,0.0,0.0
69,00:00:02.878,0.0,0.0,0.0,0.0
70,00:00:02.920,0.0,0.0,0.0,0.0
71,00:00:02.961,0.0,0.0,0.0,0.0
72,00:00:03.003,0.0,0.0,0.0,0.0
73,00:00:03.045,0.0,0.0,0.0,0.0
74,00:00:03.086,0.0,0.0,0.0,0.0
75,00:00:03.128,0.0,0.0,0.0,0.0
76,00:00:03.170,0.0,0.0,0.0,0.0
77,00:00:03.212,0.0,0.0,0.0,0.0
78,00:00:03.253,0.0,0.0,0.0,0.0
79,00:00:03.295,0.0,0.0,0.0,0.0
80,00:00:03.337,0.0,0.0,0.0,0.0
81,00:00:03.378,0.0,0.0,0.0,0.0
82,00:00:03.420,0.0,0.0,0.0,0.0
83,00:00:03.462,0.0,0.0,0.0,0.0
84,00:00:03.503,0.0,0.0,0.0,0.0
85,00:00:03.545,0.0,0.0,0.0,0.0
86,00:00:03.587,0.0,0.0,0.0,0.0
87,00:00:03.629,0.0,0.0,0.0,0.0
88,00:00:03.670,0.0,0.0,0.0,0.0
89,00:00:03.712,0.0,0.0,0.0,0.0
90,00:00:03.754,0.0,0.0,0.0,0.0
91,00:00:03.795,0.0,0.0,0.0,0.0
92,00:00:03.837,0.0,0.0,0.0,0.0
93,00:00:03.879,0.0,0.0,0.0,0.0
94,00:00:03.921,0.0,0.0,0.0,0.0
95,00:00:03.962,0.0,0.0,0.0,0.0
96,00:00:04.004,0.0,0.0,0.0,0.0
97,00:00:04.046,0.0,0.0,0.0,0.0
98,00:00:04.087,0.0,0.0,0.0,0.0
99,00:00:04.129,0.0,0.0,0.0,0.0
100,00:00:04.171,0.0,0.0,0.0,0.0
101,00:00:04.213,0.0,0.0,0.0,0.0
102,00:00:04.254,0.0,0.0,0.0,0.0
103,00:00:04.296,0.0,0.0,0.0,0.0
104,00:00:04.338,0.0,0.0,0.0,0.0
105,00:00:04.379,0.0,0.0,0.0,0.0
106,00:00:04.421,0.0,0.0,0.0,0.0
107,00:00:04.463,0.0,0.0,0.0,0.0
108,00:00:04.504,0.0,0.0,0.0,0.0
109,00:00:04.546,0.0,0.0,0.0,0.0
110,00:00:04.588,0.0,0.0,0.0,0.0
111,00:00:04.630,0.0,0.0,0.0,0.0
112,00:00:04.671,0.0,0.0,0.0,0.0
113,00:00:04.713,0.0,0.0,0.0,0.0
114,00:00:04.755,0.003161698283649503,0.0,0.009485094850948509,0.0
115,00:00:04.796,0.02258355916892502,0.0,0.06775067750677506,0.0
116,00:00:04.838,0.024841915085817526,0.0,0.07452574525745258,0.0
117,00:00:04.880,0.05962059620596206,0.0,0.17886178861788618,0.0
118,00:00:04.922,0.08943089430894309,0.0,0.2682926829268293,0.0
119,00:00:04.963,0.09033423667570008,0.0,0.27100271002710025,0.0
120,00:00:05.005,0.14001806684733514,0.0,0.42005420054200543,0.0
121,00:00:05.047,0.16576332429990967,0.0,0.497289972899729,0.0
122,00:00:05.088,0.14905149051490515,0.0,0.44715447154471544,0.0
123,00:00:05.130,0.17931345980126467,0.0,0.537940379403794,0.0
124,00:00:05.172,0.22312556458897922,0.0,0.6693766937669376,0.0
125,00:00:05.214,0.18112014453477868,0.0,0.5433604336043361,0.0
126,00:00:05.255,0.2213188798554652,0.0,0.6639566395663956,0.0
127,00:00:05.297,0.11788617886178861,0.0,0.35365853658536583,0.0
128,00:00:05.339,0.10569105691056911,0.0,0.3170731707317073,0.0
129,00:00:05.380,0.050587172538392046,0.0,0.15176151761517614,0.0
130,00:00:05.422,0.0009033423667570009,0.0,0.0027100271002710027,0.0
131,00:00:05.464,0.02348690153568202,0.0,0.07046070460704607,0.0
132,00:00:05.505,0.00045167118337850043,0.0,0.0013550135501355014,0.0
133,00:00:05.547,0.0,0.0,0.0,0.0
134,00:00:05.589,0.00993676603432701,0.0,0.02981029810298103,0.0
135,00:00:05.631,0.0009033423667570009,0.0,0.0027100271002710027,0.0
136,00:00:05.672,0.00903342366757001,0.0,0.02710027100271003,0.0
137,00:00:05.714,0.0,0.0,0.0,0.0
138,00:00:05.756,0.0,0.0,0.0,0.0
139,00:00:05.797,0.01671183378500452,0.0,0.05013550135501355,0.0
140,00:00:05.839,0.0,0.0,0.0,0.0
141,00:00:05.881,0.02032520325203252,0.0,0.06097560975609756,0.0
142,00:00:05.923,0.0,0.0,0.0,0.0
143,00:00:05.964,0.0,0.0,0.0,0.0
144,00:00:06.006,0.057813911472448055,0.0,0.17344173441734417,0.0
145,00:00:06.048,0.0,0.0,0.0,0.0
146,00:00:06.089,0.0,0.0,0.0,0.0
147,00:00:06.131,0.15356820234869015,0.0,0.46070460704607047,0.0
148,00:00:06.173,0.0022583559168925025,0.0,0.006775067750677507,0.0
